offshore_float,2802
offshore_ground,2202
onshore,1250
pv_ground_S,477
pv_roof_com_S,677
pv_roof_indiv_S,1487
pv_ground_EW,477
pv_roof_com_EW,677
pv_roof_indiv_EW,1487
river,2990
lake,1000
nuclear,4505
ch4_ocgt,600
ch4_ccgt,900
phs,1000
electrolysis,507
h2_saltcavern,0
h2_ccgt,1100
methanization,2300
battery_1h,0
battery_4h,0
ch4_reservoir,0
methanation,1287.6
pyrogazification,2775
natural_gas,0
coal,0
marine,1900
waste,0
biomass_coge,3120
geothermal_coge,6030
ocgt_coge,970
str_dummy,10000
rsv_dummy,10000
