Date,Hour,Unnamed: 2
2008-01-01,0,0.213541971
2008-01-01,1,0.206581348
2008-01-01,2,0.198626351
2008-01-01,3,0.194524556
2008-01-01,4,0.193281587
2008-01-01,5,0.196264711
2008-01-01,6,0.204841193
2008-01-01,7,0.216649393
2008-01-01,8,0.230322046
2008-01-01,9,0.242130245
2008-01-01,10,0.249215165
2008-01-01,11,0.240017199
2008-01-01,12,0.224355797
2008-01-01,13,0.207078536
2008-01-01,14,0.203349631
2008-01-01,15,0.211677519
2008-01-01,16,0.238525637
2008-01-01,17,0.299306792
2008-01-01,18,0.365681304
2008-01-01,19,0.423355039
2008-01-01,20,0.463627215
2008-01-01,21,0.485006271
2008-01-01,22,0.496441581
2008-01-01,23,0.513221654
2008-01-02,0,0.526770009
2008-01-02,1,0.545911723
2008-01-02,2,0.563064687
2008-01-02,3,0.577607418
2008-01-02,4,0.592895928
2008-01-02,5,0.610794674
2008-01-02,6,0.621608499
2008-01-02,7,0.633292402
2008-01-02,8,0.645349196
2008-01-02,9,0.651936928
2008-01-02,10,0.645846383
2008-01-02,11,0.63180084
2008-01-02,12,0.60818444
2008-01-02,13,0.585189525
2008-01-02,14,0.577607418
2008-01-02,15,0.588296946
2008-01-02,16,0.625461701
2008-01-02,17,0.662004972
2008-01-02,18,0.681643873
2008-01-02,19,0.690468949
2008-01-02,20,0.685994262
2008-01-02,21,0.66995997
2008-01-02,22,0.647959429
2008-01-02,23,0.629563497
2008-01-03,0,0.623224358
2008-01-03,1,0.62235428
2008-01-03,2,0.637767088
2008-01-03,3,0.663496535
2008-01-03,4,0.681892467
2008-01-03,5,0.696186603
2008-01-03,6,0.69829965
2008-01-03,7,0.705508866
2008-01-03,8,0.710107849
2008-01-03,9,0.707621912
2008-01-03,10,0.694446447
2008-01-03,11,0.675677625
2008-01-03,12,0.657281692
2008-01-03,13,0.636772714
2008-01-03,14,0.613653501
2008-01-03,15,0.606071394
2008-01-03,16,0.599483661
2008-01-03,17,0.569030936
2008-01-03,18,0.537086647
2008-01-03,19,0.510860014
2008-01-03,20,0.482893225
2008-01-03,21,0.45318628
2008-01-03,22,0.430937146
2008-01-03,23,0.397376999
2008-01-04,0,0.369037319
2008-01-04,1,0.358099198
2008-01-04,2,0.354991776
2008-01-04,3,0.323171785
2008-01-04,4,0.279046407
2008-01-04,5,0.263012114
2008-01-04,6,0.314222412
2008-01-04,7,0.383828643
2008-01-04,8,0.455796514
2008-01-04,9,0.527018604
2008-01-04,10,0.557595626
2008-01-04,11,0.581212026
2008-01-04,12,0.606692878
2008-01-04,13,0.649948179
2008-01-04,14,0.674310359
2008-01-04,15,0.695440822
2008-01-04,16,0.720548784
2008-01-04,17,0.757837836
2008-01-04,18,0.792640951
2008-01-04,19,0.823217974
2008-01-04,20,0.838506486
2008-01-04,21,0.842732579
2008-01-04,22,0.847580155
2008-01-04,23,0.849568904
2008-01-05,0,0.849444607
2008-01-05,1,0.837636408
2008-01-05,2,0.808302353
2008-01-05,3,0.782697205
2008-01-05,4,0.787171891
2008-01-05,5,0.781702829
2008-01-05,6,0.77934119
2008-01-05,7,0.771759082
2008-01-05,8,0.764425569
2008-01-05,9,0.752120181
2008-01-05,10,0.737328857
2008-01-05,11,0.742052138
2008-01-05,12,0.751622994
2008-01-05,13,0.743667997
2008-01-05,14,0.711972302
2008-01-05,15,0.674061766
2008-01-05,16,0.648705211
2008-01-05,17,0.629066309
2008-01-05,18,0.612783423
2008-01-05,19,0.611789048
2008-01-05,20,0.625337404
2008-01-05,21,0.650072475
2008-01-05,22,0.650321069
2008-01-05,23,0.613529204
2008-01-06,0,0.599732255
2008-01-06,1,0.594263194
2008-01-06,2,0.576861636
2008-01-06,3,0.556104064
2008-01-06,4,0.508995562
2008-01-06,5,0.460146903
2008-01-06,6,0.408190824
2008-01-06,7,0.334482797
2008-01-06,8,0.282278124
2008-01-06,9,0.248096493
2008-01-06,10,0.246604931
2008-01-06,11,0.254684226
2008-01-06,12,0.310493508
2008-01-06,13,0.405953481
2008-01-06,14,0.500543376
2008-01-06,15,0.543177192
2008-01-06,16,0.608681628
2008-01-06,17,0.672818797
2008-01-06,18,0.729995344
2008-01-06,19,0.766041427
2008-01-06,20,0.787793374
2008-01-06,21,0.80842665
2008-01-06,22,0.812777039
2008-01-06,23,0.824709536
2008-01-07,0,0.841613906
2008-01-07,1,0.839749454
2008-01-07,2,0.843975547
2008-01-07,3,0.84385125
2008-01-07,4,0.843602656
2008-01-07,5,0.844099843
2008-01-07,6,0.841862501
2008-01-07,7,0.8340318
2008-01-07,8,0.82259649
2008-01-07,9,0.815635867
2008-01-07,10,0.809669619
2008-01-07,11,0.806810791
2008-01-07,12,0.819489069
2008-01-07,13,0.830302894
2008-01-07,14,0.831172972
2008-01-07,15,0.82968141
2008-01-07,16,0.825206723
2008-01-07,17,0.812404149
2008-01-07,18,0.782572907
2008-01-07,19,0.742673622
2008-01-07,20,0.700412696
2008-01-07,21,0.663123644
2008-01-07,22,0.631676543
2008-01-07,23,0.613404908
2008-01-08,0,0.606568581
2008-01-08,1,0.611043267
2008-01-08,2,0.619619749
2008-01-08,3,0.63180084
2008-01-08,4,0.643236149
2008-01-08,5,0.645349196
2008-01-08,6,0.648953804
2008-01-08,7,0.648083726
2008-01-08,8,0.653179897
2008-01-08,9,0.668717002
2008-01-08,10,0.675553327
2008-01-08,11,0.691214729
2008-01-08,12,0.713215271
2008-01-08,13,0.739317607
2008-01-08,14,0.74665112
2008-01-08,15,0.744413778
2008-01-08,16,0.753611743
2008-01-08,17,0.766165725
2008-01-08,18,0.770018926
2008-01-08,19,0.780459861
2008-01-08,20,0.806562198
2008-01-08,21,0.824833833
2008-01-08,22,0.83950086
2008-01-08,23,0.846337187
2008-01-09,0,0.84658578
2008-01-09,1,0.838506486
2008-01-09,2,0.816754539
2008-01-09,3,0.77735244
2008-01-09,4,0.73919331
2008-01-09,5,0.689598871
2008-01-09,6,0.651688334
2008-01-09,7,0.623597249
2008-01-09,8,0.596997724
2008-01-09,9,0.571889763
2008-01-09,10,0.534725008
2008-01-09,11,0.530996102
2008-01-09,12,0.570273904
2008-01-09,13,0.596500538
2008-01-09,14,0.600975224
2008-01-09,15,0.59637624
2008-01-09,16,0.606444284
2008-01-09,17,0.62707756
2008-01-09,18,0.655541536
2008-01-09,19,0.68649145
2008-01-09,20,0.714582535
2008-01-09,21,0.741927841
2008-01-09,22,0.754108931
2008-01-09,23,0.764922756
2008-01-10,0,0.776109472
2008-01-10,1,0.786177516
2008-01-10,2,0.792640951
2008-01-10,3,0.799104387
2008-01-10,4,0.802957589
2008-01-10,5,0.81314993
2008-01-10,6,0.815387273
2008-01-10,7,0.820359147
2008-01-10,8,0.826076801
2008-01-10,9,0.832913127
2008-01-10,10,0.840122345
2008-01-10,11,0.847704452
2008-01-10,12,0.853546403
2008-01-10,13,0.85640523
2008-01-10,14,0.858269683
2008-01-10,15,0.859264058
2008-01-10,16,0.859139761
2008-01-10,17,0.858891167
2008-01-10,18,0.857648199
2008-01-10,19,0.855286559
2008-01-10,20,0.852054841
2008-01-10,21,0.847953046
