offshore_float,0.04
offshore_ground,0.04
onshore,0.04
pv_ground_S,0.04
pv_roof_com_S,0.04
pv_roof_indiv_S,0.04
pv_ground_EW,0.04
pv_roof_com_EW,0.04
pv_roof_indiv_EW,0.04
river,0.04
lake,0.04
nuclear,0.07
ch4_ocgt,0.04
ch4_ccgt,0.04
phs,0.04
electrolysis,0.04
h2_saltcavern,0.04
h2_ccgt,0.04
methanization,0.04
battery_1h,0.04
battery_4h,0.04
ch4_reservoir,0.04
methanation,0.04
pyrogazification,0.04
natural_gas,0.04
coal,0.04
marine,0.04
waste,0.04
biomass_coge,0.04
geothermal_coge,0.04
ocgt_coge,0.04
str_dummy,0.04
rsv_dummy,0.04
