Date,Hour,2006
2006-01-01,0,46.40742415918418
2006-01-01,1,43.95643921562135
2006-01-01,2,41.50359453647977
2006-01-01,3,39.372878279107965
2006-01-01,4,37.51411740802847
2006-01-01,5,38.19305687859966
2006-01-01,6,43.270740537370386
2006-01-01,7,46.797972692149145
2006-01-01,8,51.9596517606623
2006-01-01,9,52.90888592883248
2006-01-01,10,52.482140487257105
2006-01-01,11,52.05514256942607
2006-01-01,12,54.826934457213284
2006-01-01,13,55.59767977434289
2006-01-01,14,53.1324500960898
2006-01-01,15,48.50934079146913
2006-01-01,16,48.23376838224621
2006-01-01,17,53.22775237111518
2006-01-01,18,54.92887642922155
2006-01-01,19,58.427248166307265
2006-01-01,20,54.50539991066942
2006-01-01,21,47.258638749136615
2006-01-01,22,48.12001927015182
2006-01-01,23,47.37852789345183
2006-01-02,0,46.336225115824725
2006-01-02,1,43.57078431753427
2006-01-02,2,40.99806673157623
2006-01-02,3,38.8468095939341
2006-01-02,4,36.84626235570608
2006-01-02,5,37.915962781049764
2006-01-02,6,42.72571041034042
2006-01-02,7,46.474022292748565
2006-01-02,8,51.383311569951175
2006-01-02,9,53.91061348242339
2006-01-02,10,54.68877316669892
2006-01-02,11,54.60034261515666
2006-01-02,12,57.4613755618726
2006-01-02,13,57.732727597148646
2006-01-02,14,55.133903808577514
2006-01-02,15,49.87479638757843
2006-01-02,16,48.411108764756676
2006-01-02,17,54.62864421245151
2006-01-02,18,56.56976735464352
2006-01-02,19,58.0005398790657
2006-01-02,20,54.46950877793643
2006-01-02,21,48.214187757090436
2006-01-02,22,48.99717917488993
2006-01-02,23,47.714831966421805
2006-01-03,0,46.53387816826974
2006-01-03,1,43.856726134839896
2006-01-03,2,41.32423170149868
2006-01-03,3,39.154109215697694
2006-01-03,4,36.94218103805257
2006-01-03,5,37.96378244903309
2006-01-03,6,42.84052045562458
2006-01-03,7,46.77178244212386
2006-01-03,8,51.63184260291957
2006-01-03,9,54.011341209274725
2006-01-03,10,54.710008838887234
2006-01-03,11,54.711512204972415
2006-01-03,12,57.50863891479729
2006-01-03,13,57.885575791000534
2006-01-03,14,55.334994719778834
2006-01-03,15,49.94617928721608
2006-01-03,16,48.21453636720608
2006-01-03,17,54.316716992335635
2006-01-03,18,56.1456959879073
2006-01-03,19,57.46713946030746
2006-01-03,20,53.81345836417259
2006-01-03,21,47.50714181158388
2006-01-03,22,48.29946386177282
2006-01-03,23,46.964765654059036
2006-01-04,0,45.98652644585883
2006-01-04,1,43.70412496872942
2006-01-04,2,41.40953464848501
2006-01-04,3,39.35676596657396
2006-01-04,4,37.60266839942079
2006-01-04,5,38.26986274025046
2006-01-04,6,43.3153717504923
2006-01-04,7,46.75339392672939
2006-01-04,8,51.73590903587996
2006-01-04,9,52.7607502365314
2006-01-04,10,52.65396751573551
2006-01-04,11,52.491153489408816
2006-01-04,12,55.01195644692233
2006-01-04,13,55.507159460835496
2006-01-04,14,53.17180016736205
2006-01-04,15,48.74796815687255
2006-01-04,16,48.443314851196526
2006-01-04,17,53.233059394889366
2006-01-04,18,55.08074694065398
2006-01-04,19,58.64966326007809
2006-01-04,20,54.77008832197814
2006-01-04,21,47.60256780904578
2006-01-04,22,48.55399426426673
2006-01-04,23,47.89046129402499
2006-01-05,0,47.826846843111156
2006-01-05,1,45.90345727272608
2006-01-05,2,43.42853003744472
2006-01-05,3,41.25123007195377
2006-01-05,4,39.57733740254833
