Date,Hour,Unnamed: 2
2006-01-01,0,43.472108
2006-01-01,1,40.856648
2006-01-01,2,38.341263
2006-01-01,3,36.224664
2006-01-01,4,34.325492
2006-01-01,5,34.796884
2006-01-01,6,39.471582
2006-01-01,7,42.729037
2006-01-01,8,47.8262
2006-01-01,9,48.931154
2006-01-01,10,48.814476
2006-01-01,11,48.686356
2006-01-01,12,51.757693
2006-01-01,13,52.8571
2006-01-01,14,50.61872
2006-01-01,15,45.981495
2006-01-01,16,45.321695
2006-01-01,17,49.609298
2006-01-01,18,51.163774
2006-01-01,19,55.099849
2006-01-01,20,51.476485
2006-01-01,21,44.094365
2006-01-01,22,44.796582
2006-01-01,23,44.066885
2006-01-02,0,42.996348
2006-01-02,1,40.095899
2006-01-02,2,37.488817
2006-01-02,3,35.379124
2006-01-02,4,33.368151
2006-01-02,5,34.265679
2006-01-02,6,38.713835
2006-01-02,7,42.232193
2006-01-02,8,47.113347
2006-01-02,9,49.828975
2006-01-02,10,50.94628
2006-01-02,11,51.184745
2006-01-02,12,54.372015
2006-01-02,13,54.997578
2006-01-02,14,52.653746
2006-01-02,15,47.414364
2006-01-02,16,45.609305
2006-01-02,17,51.171701
2006-01-02,18,53.006133
2006-01-02,19,54.900942
2006-01-02,20,51.695454
2006-01-02,21,45.339136
2006-01-02,22,45.996623
2006-01-02,23,44.755828
2006-01-03,0,43.004625
2006-01-03,1,40.216758
2006-01-03,2,37.679207
2006-01-03,3,35.583826
2006-01-03,4,33.391461
2006-01-03,5,34.261467
2006-01-03,6,38.786506
2006-01-03,7,42.500977
2006-01-03,8,47.351716
2006-01-03,9,49.944681
2006-01-03,10,51.010251
2006-01-03,11,51.823702
2006-01-03,12,55.47695
2006-01-03,13,56.223745
2006-01-03,14,53.938728
2006-01-03,15,48.105967
2006-01-03,16,45.502037
2006-01-03,17,50.915562
2006-01-03,18,52.628773
2006-01-03,19,54.431497
2006-01-03,20,51.115038
2006-01-03,21,44.700534
2006-01-03,22,45.359917
2006-01-03,23,44.067995
2006-01-04,0,42.366113
2006-01-04,1,39.966674
2006-01-04,2,37.667148
2006-01-04,3,35.694119
2006-01-04,4,33.961851
2006-01-04,5,34.470529
2006-01-04,6,39.146472
2006-01-04,7,42.359864
2006-01-04,8,47.340284
2006-01-04,9,48.60181
2006-01-04,10,48.896268
2006-01-04,11,49.603111
2006-01-04,12,53.061669
2006-01-04,13,54.49591
2006-01-04,14,52.93072
2006-01-04,15,48.059647
2006-01-04,16,46.832732
2006-01-04,17,50.376572
2006-01-04,18,51.643145
2006-01-04,19,55.731896
2006-01-04,20,52.214951
2006-01-04,21,44.933207
2006-01-04,22,45.740264
2006-01-04,23,45.115368
2006-01-05,0,43.710767
2006-01-05,1,41.641363
2006-01-05,2,39.143279
2006-01-05,3,37.034922
2006-01-05,4,35.362506
2006-01-05,5,35.973644
2006-01-05,6,40.91484
2006-01-05,7,44.601269
2006-01-05,8,50.015741
2006-01-05,9,51.280099
2006-01-05,10,51.091545
2006-01-05,11,51.259927
2006-01-05,12,54.049946
2006-01-05,13,54.793721
2006-01-05,14,52.596618
2006-01-05,15,48.204552
2006-01-05,16,47.957918
2006-01-05,17,52.48437
2006-01-05,18,54.158111
2006-01-05,19,58.057092
2006-01-05,20,54.326657
2006-01-05,21,46.847492
2006-01-05,22,47.441504
2006-01-05,23,46.794992
2006-01-06,0,44.781199
2006-01-06,1,41.939229
2006-01-06,2,39.316507
2006-01-06,3,37.076259
2006-01-06,4,35.274944
2006-01-06,5,35.961175
2006-01-06,6,41.010391
2006-01-06,7,44.593347
2006-01-06,8,49.907416
2006-01-06,9,50.958297
2006-01-06,10,50.956238
2006-01-06,11,51.144891
2006-01-06,12,53.958655
2006-01-06,13,54.728462
2006-01-06,14,52.558491
2006-01-06,15,48.194656
2006-01-06,16,47.587384
2006-01-06,17,51.699151
2006-01-06,18,53.348184
2006-01-06,19,57.190193
2006-01-06,20,53.389929
2006-01-06,21,46.116015
