Date,Hour,
01-26,14,87.42751223
01-26,15,85.64456289
01-26,16,83.08808726
01-26,17,83.54371743
01-26,18,90.81360343
01-26,19,94.7504328
01-26,20,93.3742314
01-26,21,90.61985272
01-26,22,87.02641167
01-26,23,84.31461581
01-27,0,79.46384045
01-27,1,75.2900598
01-27,2,70.19590009
01-27,3,68.40438461
01-27,4,67.56089055
01-27,5,67.87580922
01-27,6,68.09456659
01-27,7,69.67436077
01-27,8,72.69043981
01-27,9,75.83084193
01-27,10,77.33285068
01-27,11,79.00571399
01-27,12,81.63938315
01-27,13,83.08712086
01-27,14,83.34316158
01-27,15,81.15769346
01-27,16,78.39626076
01-27,17,76.78224713
01-27,18,82.85725455
01-27,19,87.25576556
01-27,20,87.45794489
01-27,21,84.62010431
01-27,22,81.98489037
01-27,23,80.94867138
01-28,0,77.31073475
01-28,1,73.25739279
01-28,2,68.29951897
01-28,3,66.58618299
01-28,4,65.62119376
01-28,5,65.1659387
01-28,6,64.68425001
01-28,7,65.1790395
01-28,8,67.42600129
01-28,9,70.7544568
01-28,10,73.42070622
01-28,11,75.76549065
01-28,12,78.77737955
01-28,13,80.0095954
01-28,14,80.28676571
01-28,15,78.86196299
01-28,16,76.20406531
01-28,17,74.16640331
01-28,18,80.56997592
01-28,19,86.30599028
01-28,20,87.26566558
01-28,21,84.53981185
01-28,22,80.9199588
01-28,23,80.18166709
01-29,0,79.23352787
01-29,1,75.73483777
01-29,2,71.01361541
01-29,3,69.46509026
01-29,4,68.7209053
01-29,5,69.71619692
01-29,6,73.56079274
01-29,7,79.08442577
01-29,8,82.16072415
01-29,9,84.38515834
01-29,10,84.95218252
01-29,11,85.46397461
01-29,12,85.9794019
01-29,13,87.92896749
01-29,14,88.54104187
01-29,15,86.92924225
01-29,16,84.34846758
01-29,17,84.22092094
01-29,18,92.03911992
01-29,19,96.13336477
01-29,20,93.94050454
01-29,21,89.98279544
01-29,22,86.05973271
01-29,23,84.57979223
01-30,0,83.43937369
01-30,1,80.10338147
01-30,2,74.89829139
01-30,3,73.33497553
01-30,4,72.43971396
01-30,5,72.31196762
01-30,6,75.09585779
01-30,7,80.3648792
01-30,8,83.37884528
01-30,9,85.36662801
01-30,10,85.70122666
01-30,11,86.0534903
01-30,12,86.40938915
01-30,13,88.27126692
01-30,14,88.68894903
01-30,15,86.99368751
01-30,16,84.5248997
01-30,17,84.32023004
01-30,18,92.36134624
01-30,19,96.08476671
01-30,20,94.18877728
01-30,21,90.79734132
01-30,22,86.92182017
01-30,23,85.10803209
01-31,0,83.35591179
01-31,1,79.85827818
01-31,2,75.01027824
01-31,3,73.54098908
01-31,4,72.33723543
01-31,5,72.69652625
01-31,6,75.09585779
01-31,7,80.2243674
01-31,8,83.18234005
01-31,9,85.12469415
01-31,10,85.5216251
01-31,11,86.25739089
01-31,12,86.27415974
01-31,13,88.27654932
01-31,14,88.97842448
01-31,15,87.14687707
01-31,16,84.61364399
01-31,17,84.08463506
01-31,18,92.12997718
01-31,19,95.85762356
01-31,20,94.06833859
01-31,21,90.71070998
01-31,22,86.90386002
01-31,23,85.07845066
02-01,0,83.57671606
02-01,1,79.95019191
02-01,2,74.64896218
02-01,3,73.03916121
02-01,4,72.04459054
02-01,5,72.37324345
02-01,6,75.19305393
02-01,7,80.24866643
02-01,8,83.20980852
02-01,9,85.09933864
02-01,10,85.3494189
02-01,11,85.84853324
02-01,12,85.55469705
02-01,13,87.37431563
02-01,14,87.856443
02-01,15,86.04602519
02-01,16,83.90157665
02-01,17,83.95680101
02-01,18,92.14582437
02-01,19,95.83015509
02-01,20,94.03030532
02-01,21,90.71704886
02-01,22,86.79926852
02-01,23,85.01294892
02-02,0,83.74997873
02-02,1,80.44673739
02-02,2,75.49942836
02-02,3,73.96252449
02-02,4,72.95950199
02-02,5,72.79583534
02-02,6,74.97753206
02-02,7,80.1250583
02-02,8,83.00379498
02-02,9,84.80880671
02-02,10,85.21102006
02-02,11,85.66998816
02-02,12,85.42897596
02-02,13,86.89784326
02-02,14,87.17078766
02-02,15,85.09202399
02-02,16,82.66760832
02-02,17,82.69008181
02-02,18,90.5177891
02-02,19,94.16408655
02-02,20,93.28971302
02-02,21,90.60611849
02-02,22,86.95140161
02-02,23,84.06106068
02-03,0,79.36875727
02-03,1,75.42740217
02-03,2,69.95713567
02-03,3,68.01876951
02-03,4,67.32212613
02-03,5,67.56203474
02-03,6,67.95722422
02-03,7,69.50849345
02-03,8,72.56154928
02-03,9,75.70617732
02-03,10,77.02647156
02-03,11,78.92436506
02-03,12,81.56965549
02-03,13,83.07866902
02-03,14,83.52698905
02-03,15,81.39223196
02-03,16,78.50296521
02-03,17,76.13356858
02-03,18,82.33218412
02-03,19,86.47502704
02-03,20,87.07232979
02-03,21,84.84619097
02-03,22,81.95425246
02-03,23,80.9423325
02-04,0,77.60337964
02-04,1,73.46657578
02-04,2,68.46855573
02-04,3,66.53547196
02-04,4,65.59161232
02-04,5,65.30750698
02-04,6,64.61980474
02-04,7,65.05754433
02-04,8,67.35521715
02-04,9,70.62134036
02-04,10,73.19990196
02-04,11,75.7158361
02-04,12,78.71399076
02-04,13,80.07087122
02-04,14,80.35860633
02-04,15,78.71511231
02-04,16,76.29175312
02-04,17,73.39939902
02-04,18,80.01743702
02-04,19,85.55905911
02-04,20,87.03640948
02-04,21,84.88211128
02-04,22,81.3837534
02-04,23,80.35598625
02-05,0,79.20183348
02-05,1,75.7908312
02-05,2,71.05481812
02-05,3,69.61088447
02-05,4,68.74731729
02-05,5,69.73310059
02-05,6,73.59354361
02-05,7,79.01892402
02-05,8,82.23890365
02-05,9,84.32810843
02-05,10,84.62467381
02-05,11,84.97905041
02-05,12,85.73324212
02-05,13,87.72295394
02-05,14,88.13641013
02-05,15,86.41790606
02-05,16,83.76212133
02-05,17,83.35988996
02-05,18,91.92290715
02-05,19,96.27493306
02-05,20,94.53847207
02-05,21,90.76036453
02-05,22,86.77813893
02-05,23,85.23164022
02-06,0,83.9549358
02-06,1,80.42138187
02-06,2,75.35469064
02-06,3,73.77024518
02-06,4,72.59712944
02-06,5,72.55073204
02-06,6,75.34835645
02-06,7,80.53285948
02-06,8,83.6387393
02-06,9,85.52193053
02-06,10,85.60403052
02-06,11,85.81049996
02-06,12,86.21077096
02-06,13,88.15822359
02-06,14,88.45546701
02-06,15,86.62180665
02-06,16,84.07589581
02-06,17,83.86383079
02-06,18,92.46593773
02-06,19,96.41227542
02-06,20,94.73814674
02-06,21,91.40904308
02-06,22,87.48069795
02-06,23,85.92152149
02-07,0,83.7985768
02-07,1,80.46469754
02-07,2,75.44132198
02-07,3,73.72798599
02-07,4,72.68164782
02-07,5,72.88352316
02-07,6,75.45400442
02-07,7,80.59836123
02-07,8,83.73910487
02-07,9,85.67300713
02-07,10,85.86392454
02-07,11,86.34507871
02-07,12,86.71048587
02-07,13,88.53116093
02-07,14,88.83263028
02-07,15,86.83944147
02-07,16,84.1752049
02-07,17,83.98110004
02-07,18,92.69308087
02-07,19,96.73027582
02-07,20,95.08255913
02-07,21,91.71542221
02-07,22,87.76806044
02-07,23,86.17296367
02-08,0,84.19158726
02-08,1,80.76685075
02-08,2,75.81954172
02-08,3,74.06922895
02-08,4,73.01866486
02-08,5,73.08108487
02-08,6,75.65684853
02-08,7,80.7874711
02-08,8,83.88701203
02-08,9,85.75541255
02-08,10,85.99704098
02-08,11,86.49932475
02-08,12,86.28789398
02-08,13,88.14871527
02-08,14,88.48821789
02-08,15,86.66512231
02-08,16,84.07483933
02-08,17,84.10893409
02-08,18,92.77020389
02-08,19,96.79366461
02-08,20,95.16496455
02-08,21,91.77458507
02-08,22,87.79024652
02-08,23,85.8739799
02-09,0,84.64164763
02-09,1,80.93166159
02-09,2,75.96850536
02-09,3,74.47703012
02-09,4,73.62297126
02-09,5,73.72976343
02-09,6,76.01922108
02-09,7,81.08117246
02-09,8,84.05710527
02-09,9,86.17800445
02-09,10,86.4861911
02-09,11,87.27161144
02-09,12,86.45059186
02-09,13,87.84973151
02-09,14,87.99167241
02-09,15,85.72591183
02-09,16,83.12295109
02-09,17,83.08203579
02-09,18,91.29113227
02-09,19,95.24486532
02-09,20,93.95740822
02-09,21,91.1681657
02-09,22,87.70150222
02-09,23,85.19994583
02-10,0,79.62231241
02-10,1,75.77604048
02-10,2,70.46107651
02-10,3,68.84176722
02-10,4,68.07645266
02-10,5,68.33115198
02-10,6,68.67351748
02-10,7,70.35790316
02-10,8,73.25988238
02-10,9,76.21223111
02-10,10,77.83996095
02-10,11,79.82659875
02-10,12,82.43596887
02-10,13,83.95132129
02-10,14,84.16510281
02-10,15,81.86342192
02-10,16,78.95830797
02-10,17,76.82873224
02-10,18,82.93649053
02-10,19,87.12264912
02-10,20,87.56570582
02-10,21,85.63749429
02-10,22,82.48566177
02-10,23,81.32372169
02-11,0,77.47554559
02-11,1,73.50777849
02-11,2,68.46010389
02-11,3,66.50060813
02-11,4,65.66873534
02-11,5,65.21876269
02-11,6,64.56275484
02-11,7,65.16953118
02-11,8,67.60877228
02-11,9,70.8484835
02-11,10,73.03297816
02-11,11,75.50876607
02-11,12,78.38965149
02-11,13,79.88598727
02-11,14,80.22232044
02-11,15,78.51015524
02-11,16,75.82690204
02-11,17,72.92820906
02-11,18,80.03434069
02-11,19,86.10737209
02-11,20,87.35018396
02-11,21,85.365979
02-11,22,81.84437857
02-11,23,80.99093057
02-12,0,79.4353155
02-12,1,75.93451244
02-12,2,71.05693108
02-12,3,69.70913708
02-12,4,69.08222137
02-12,5,69.84297448
02-12,6,73.71292582
02-12,7,78.68930235
02-12,8,81.94731524
02-12,9,84.10096529
02-12,10,84.31935116
02-12,11,84.57124924
02-12,12,85.10674964
02-12,13,87.32466108
02-12,14,87.78671534
02-12,15,85.95939385
02-12,16,83.15041956
02-12,17,82.27699823
02-12,18,90.64351019
02-12,19,95.59033419
02-12,20,93.73026507
02-12,21,89.98596488
02-12,22,86.11361318
02-12,23,84.65374581
02-13,0,83.24498142
02-13,1,79.6121184
02-13,2,74.78102214
02-13,3,73.15220454
02-13,4,72.281242
02-13,5,72.23695756
02-13,6,74.73242876
02-13,7,79.48588807
02-13,8,82.6847381
02-13,9,84.63765699
02-13,10,84.89935854
02-13,11,85.68689184
02-13,12,86.09561467
02-13,13,87.94798412
02-13,14,88.34876256
02-13,15,86.3893811
02-13,16,83.43461261
02-13,17,82.19670577
02-13,18,90.46919103
02-13,19,95.50158989
02-13,20,93.81161401
02-13,21,90.42546045
02-13,22,86.58585962
02-13,23,85.05098219
02-14,0,83.40345338
02-14,1,80.00195942
02-14,2,75.06521519
02-14,3,73.40575967
02-14,4,72.49570739
02-14,5,72.51269877
02-14,6,74.90991736
02-14,7,79.59259252
02-14,8,82.74918336
02-14,9,84.70104578
02-14,10,84.96486028
02-14,11,85.92037386
02-14,12,85.96038526
02-14,13,87.72929282
02-14,14,88.39524767
02-14,15,86.42847085
02-14,16,83.53497818
02-14,17,82.2315696
02-14,18,90.43221424
02-14,19,95.48679918
02-14,20,93.83696953
02-14,21,90.55540746
02-14,22,86.65558728
02-14,23,84.99604524
02-15,0,83.40028394
02-15,1,79.94174008
02-15,2,75.14656413
02-15,3,73.57162699
02-15,4,72.27384664
02-15,5,72.63313746
02-15,6,74.96591078
02-15,7,79.75951632
02-15,8,82.94357563
02-15,9,84.86374366
02-15,10,85.19411638
02-15,11,86.24048722
02-15,12,85.96989358
02-15,13,87.8761435
02-15,14,88.36355328
02-15,15,86.14322133
02-15,16,83.49905787
02-15,17,82.58865975
02-15,18,91.00693922
02-15,19,96.15555085
02-15,20,94.59763494
02-15,21,91.28015256
02-15,22,87.34546855
02-15,23,85.54858414
02-16,0,83.82498879
02-16,1,80.16148786
02-16,2,75.35363416
02-16,3,73.63184634
02-16,4,72.61086368
02-16,5,72.59933011
02-16,6,74.60565119
02-16,7,79.12140256
02-16,8,82.23045181
02-16,9,84.25521133
02-16,10,84.59192294
02-16,11,85.6731576
02-16,12,85.17225138
02-16,13,86.65273997
02-16,14,86.84750486
02-16,15,84.6483025
02-16,16,81.77171351
02-16,17,81.2099537
02-16,18,88.62669038
02-16,19,93.87249814
02-16,20,92.88296833
02-16,21,89.86024379
02-16,22,86.20975283
02-16,23,83.49901346
02-17,0,78.70634448
02-17,1,74.83366056
02-17,2,69.65603895
02-17,3,68.14766003
02-17,4,67.18689672
02-17,5,67.30002776
02-17,6,67.72268572
02-17,7,69.18204121
02-17,8,72.00689742
02-17,9,74.84303337
02-17,10,76.29010518
02-17,11,78.4109159
02-17,12,80.99387403
02-17,13,82.60747906
02-17,14,82.80013099
02-17,15,80.5766296
02-17,16,77.93352263
02-17,17,75.43629195
02-17,18,81.35177092
02-17,19,86.55848894
02-17,20,86.81666169
02-17,21,84.69617085
02-17,22,81.68907605
02-17,23,80.80076422
02-18,0,76.8754651
02-18,1,72.84959162
02-18,2,67.72162456
02-18,3,65.89101932
02-18,4,64.90701345
02-18,5,64.5299379
02-18,6,63.71440161
02-18,7,64.31800852
02-18,8,66.89670494
02-18,9,69.72333258
02-18,10,71.99762802
02-18,11,74.56110375
02-18,12,77.44727156
