Date,Hour,
01-01,0,76.95047516
01-01,1,73.42748603
01-01,2,68.13682109
01-01,3,65.83079998
01-01,4,63.36455304
01-01,5,61.17350178
01-01,6,59.49482155
01-01,7,60.03609615
01-01,8,62.54506492
01-01,9,65.98233784
01-01,10,68.89263408
01-01,11,71.01238832
01-01,12,73.68092131
01-01,13,74.64373482
01-01,14,74.73919062
01-01,15,73.33446102
01-01,16,71.27875678
01-01,17,73.22085395
01-01,18,78.80142884
01-01,19,83.86446562
01-01,20,84.91499817
01-01,21,82.30958313
01-01,22,78.85242796
01-01,23,77.38410876
01-02,0,76.50781015
01-02,1,72.83797034
01-02,2,67.9593325
01-02,3,66.6168209
01-02,4,65.97300151
01-02,5,65.84314221
01-02,6,66.70635222
01-02,7,70.16562385
01-02,8,74.46638224
01-02,9,78.44457279
01-02,10,80.51813708
01-02,11,81.74939187
01-02,12,83.31390353
01-02,13,85.30361535
01-02,14,86.15234119
01-02,15,84.36094001
01-02,16,81.8921522
01-02,17,84.02441571
01-02,18,89.99483163
01-02,19,94.26128268
01-02,20,92.71815749
01-02,21,89.32143913
01-02,22,85.60227698
01-02,23,84.01140613
01-03,0,82.9850874
01-03,1,79.59944064
01-03,2,74.54648364
01-03,3,72.8310347
01-03,4,71.83857699
01-03,5,72.03411345
01-03,6,74.40175061
01-03,7,79.56723701
01-03,8,82.96787466
01-03,9,85.28316611
01-03,10,86.1523435
01-03,11,86.34719167
01-03,12,86.80768201
01-03,13,88.53961277
01-03,14,88.98370688
01-03,15,87.44374788
01-03,16,85.14294034
01-03,17,87.48438684
01-03,18,94.07706933
01-03,19,97.7170279
01-03,20,95.69320442
01-03,21,91.94573479
01-03,22,87.90223337
01-03,23,86.13704336
01-04,0,83.43303481
01-04,1,79.92166696
01-04,2,74.84969332
01-04,3,73.5399326
01-04,4,72.62988031
01-04,5,72.78104463
01-04,6,74.91414328
01-04,7,79.66971554
01-04,8,82.96893114
01-04,9,85.22928565
01-04,10,86.10374544
01-04,11,86.40212862
01-04,12,86.52348896
01-04,13,88.31458259
01-04,14,88.67732776
01-04,15,87.07714941
01-04,16,85.03200997
01-04,17,87.37768239
01-04,18,93.91331497
01-04,19,97.4613598
01-04,20,95.64354987
01-04,21,91.90981448
01-04,22,87.53669138
01-04,23,85.24009206
01-05,0,83.4076793
01-05,1,79.96392615
01-05,2,75.23108251
01-05,3,73.59592603
01-05,4,72.53374066
01-05,5,72.30562874
01-05,6,73.37907822
01-05,7,77.49548025
01-05,8,81.02289547
01-05,9,83.66146972
01-05,10,84.64791636
01-05,11,84.81635253
01-05,12,84.85530746
01-05,13,86.21430088
01-05,14,86.6890329
01-05,15,84.92615667
01-05,16,82.94123657
01-05,17,85.5003179
01-05,18,91.43270055
01-05,19,94.54547573
01-05,20,93.03510141
01-05,21,89.98279544
01-05,22,86.24039074
01-05,23,83.40709972
01-06,0,76.57436838
01-06,1,73.09997731
01-06,2,68.0945619
01-06,3,66.56082747
01-06,4,66.11034387
01-06,5,66.49182077
01-06,6,67.01273134
01-06,7,68.15091699
01-06,8,70.98845095
01-06,9,74.54827553
01-06,10,76.95568741
01-06,11,78.8852753
01-06,12,81.65100443
01-06,13,83.73051702
01-06,14,84.26229895
01-06,15,82.16451864
01-06,16,79.61755133
01-06,17,79.88618459
01-06,18,83.77427895
01-06,19,87.33183211
01-06,20,87.48752632
01-06,21,84.63912095
01-06,22,81.64047798
01-06,23,80.50917581
01-07,0,76.85327903
01-07,1,73.11265507
01-07,2,68.13787757
01-07,3,66.20373732
01-07,4,65.03273454
01-07,5,64.60706092
01-07,6,63.59079348
01-07,7,63.61016709
01-07,8,64.96757295
01-07,9,67.77307099
01-07,10,70.57243686
01-07,11,73.16549402
01-07,12,76.58412762
01-07,13,78.58546071
01-07,14,79.33699042
01-07,15,78.0643208
01-07,16,75.36099448
01-07,17,75.34437821
01-07,18,80.15477938
01-07,19,85.26535774
01-07,20,86.58423615
01-07,21,84.05700061
01-07,22,80.70549342
01-07,23,79.80556031
01-08,0,79.43637198
01-08,1,76.12045288
01-08,2,71.12982818
01-08,3,69.69540285
01-08,4,68.81070607
01-08,5,69.2111996
01-08,6,73.02727047
01-08,7,78.76431241
01-08,8,82.51887078
01-08,9,84.86585662
01-08,10,85.54486766
01-08,11,85.6890048
01-08,12,86.27204678
01-08,13,88.3346557
01-08,14,89.03547439
01-08,15,87.41839236
01-08,16,85.22534576
01-08,17,87.09137638
01-08,18,93.65130799
01-08,19,97.22259538
01-08,20,95.17764231
01-08,21,91.31079047
01-08,22,87.17114939
01-08,23,85.67958763
01-09,0,84.48423215
01-09,1,80.8629904
01-09,2,75.91673786
01-09,3,74.51400692
01-09,4,73.57226024
01-09,5,73.63996265
01-09,6,75.91357311
01-09,7,81.13293997
01-09,8,84.54731187
01-09,9,86.43367254
01-09,10,86.83588589
01-09,11,86.89444817
01-09,12,87.16054624
01-09,13,89.01925457
01-09,14,89.61653824
01-09,15,88.00368214
01-09,16,85.95009086
01-09,17,87.88373618
01-09,18,94.59897032
01-09,19,97.89346001
01-09,20,95.96894563
01-09,21,92.42432011
01-09,22,88.37131037
01-09,23,86.52794086
01-10,0,85.00613314
01-10,1,81.22641943
01-10,2,76.10162181
01-10,3,74.31855816
01-10,4,73.20777473
01-10,5,73.58925162
01-10,6,75.78045666
01-10,7,80.92481346
01-10,8,84.36348439
01-10,9,86.26780522
01-10,10,86.64043714
01-10,11,86.91874721
01-10,12,87.27464605
01-10,13,89.11645071
01-10,14,89.66724927
01-10,15,87.97621366
01-10,16,85.83810401
01-10,17,87.75167622
01-10,18,94.44578075
01-10,19,97.71068902
01-10,20,95.82420791
01-10,21,92.40424699
01-10,22,88.05542293
01-10,23,86.03773426
01-11,0,84.00353387
01-11,1,80.51223913
01-11,2,75.66635216
01-11,3,74.06077711
01-11,4,73.45287803
01-11,5,73.5015638
01-11,6,75.63571894
01-11,7,80.65118521
01-11,8,84.06978303
01-11,9,86.01002417
01-11,10,86.47668278
01-11,11,86.63455416
01-11,12,86.70309052
01-11,13,88.53749981
01-11,14,89.12421869
01-11,15,87.43635252
01-11,16,85.66906725
01-11,17,87.67244024
01-11,18,94.23237185
01-11,19,97.41381821
01-11,20,95.61502492
01-11,21,92.15703074
01-11,22,87.95294439
01-11,23,85.8898271
01-12,0,84.97443874
01-12,1,81.78635369
01-12,2,76.6858551
01-12,3,74.81510364
01-12,4,73.90610783
01-12,5,74.07945822
01-12,6,76.31186597
01-12,7,81.45305333
01-12,8,84.63288673
01-12,9,86.66715456
01-12,10,86.96688938
01-12,11,87.08355805
01-12,12,86.83515048
01-12,13,88.42762592
01-12,14,88.93299585
01-12,15,87.17223259
01-12,16,84.86191673
01-12,17,86.71210016
01-12,18,93.04066271
01-12,19,96.00341777
01-12,20,94.88816686
01-12,21,92.1538613
01-12,22,88.27411423
01-12,23,85.42920193
01-13,0,80.35022695
01-13,1,76.17010742
01-13,2,70.93437943
01-13,3,69.21364809
01-13,4,68.58250645
01-13,5,68.76430867
01-13,6,69.13097321
01-13,7,70.7466877
01-13,8,73.85890639
01-13,9,77.1144648
01-13,10,78.64288555
01-13,11,79.8709709
01-13,12,82.49618821
01-13,13,83.92279633
01-13,14,84.13869082
01-13,15,82.0884521
01-13,16,79.48760432
01-13,17,79.21637644
01-13,18,84.47155558
01-13,19,87.86429789
01-13,20,88.20698902
01-13,21,85.7674413
01-13,22,82.97481188
01-13,23,81.91112442
01-14,0,78.28480907
01-14,1,74.07827755
01-14,2,68.92284201
01-14,3,66.97179809
01-14,4,66.12407811
01-14,5,65.74066367
01-14,6,65.36251
01-14,7,65.83300046
01-14,8,68.08841408
01-14,9,71.61865722
01-14,10,74.29441496
01-14,11,76.57264117
01-14,12,79.45352658
01-14,13,80.58748981
01-14,14,80.91220171
01-14,15,79.21060131
01-14,16,76.59390633
01-14,17,75.91170783
01-14,18,81.70463515
01-14,19,86.30810324
01-14,20,87.80763968
01-14,21,85.49592601
01-14,22,81.72499636
01-14,23,81.00677777
01-15,0,80.08293757
01-15,1,76.70046025
01-15,2,71.65912453
01-15,3,70.10214754
01-15,4,69.37064033
01-15,5,70.16308784
01-15,6,73.81012195
01-15,7,79.254519
01-15,8,82.63085763
01-15,9,84.97044811
01-15,10,85.67375818
01-15,11,86.0587727
01-15,12,86.71048587
01-15,13,88.57342012
01-15,14,89.1390094
01-15,15,87.58954208
01-15,16,85.33944557
01-15,17,86.44058487
01-15,18,93.46431108
01-15,19,96.61934545
01-15,20,94.94521677
01-15,21,91.14492315
01-15,22,87.22186042
01-15,23,85.69860427
01-16,0,84.47578031
01-16,1,81.06372155
01-16,2,76.1280338
01-16,3,74.81087772
01-16,4,73.60923703
01-16,5,73.57551739
01-16,6,76.13332089
01-16,7,81.31148505
01-16,8,84.44588981
01-16,9,86.3734532
01-16,10,86.91934779
01-16,11,87.22723929
01-16,12,87.53242711
01-16,13,89.30661706
01-16,14,89.64611967
01-16,15,88.1410245
01-16,16,85.55602392
01-16,17,86.46594038
01-16,18,93.6090488
01-16,19,96.98805688
01-16,20,95.44704464
01-16,21,91.96792086
01-16,22,88.13465891
01-16,23,86.52265846
01-17,0,84.57297645
01-17,1,81.31199429
01-17,2,76.1597282
01-17,3,74.60275121
01-17,4,73.57754264
01-17,5,73.60826826
01-17,6,76.11536073
01-17,7,81.09701966
01-17,8,84.2694577
01-17,9,86.30795145
01-17,10,86.93096907
01-17,11,87.23569113
01-17,12,87.39085882
01-17,13,89.25590603
01-17,14,89.61231232
01-17,15,88.12940323
01-17,16,85.50953881
01-17,17,86.48284406
01-17,18,93.66081631
01-17,19,97.10321317
01-17,20,95.43436689
01-17,21,91.98799398
01-17,22,88.11458579
01-17,23,86.29974124
01-18,0,84.84343526
01-18,1,81.28135638
01-18,2,76.05408022
01-18,3,74.74220654
01-18,4,74.06457979
01-18,5,74.09319246
01-18,6,76.19565319
01-18,7,81.13082701
01-18,8,84.28636137
01-18,9,86.22343308
01-18,10,86.73763328
01-18,11,87.00643502
01-18,12,87.05384179
01-18,13,88.72344025
01-18,14,89.30276376
01-18,15,87.71843261
01-18,16,85.2285152
01-18,17,86.35606649
01-18,18,93.54988594
01-18,19,97.04616327
01-18,20,95.39633361
01-18,21,91.91615336
01-18,22,87.91174168
01-18,23,85.88348822
01-19,0,84.71137529
01-19,1,81.2074028
01-19,2,76.44392124
01-19,3,74.84045915
01-19,4,73.77510435
01-19,5,73.76674022
01-19,6,75.75615762
01-19,7,80.70295272
01-19,8,83.7634039
01-19,9,85.67617657
01-19,10,86.31821082
01-19,11,86.92086017
01-19,12,86.86473192
01-19,13,88.27971876
01-19,14,88.63506857
01-19,15,86.69470375
01-19,16,84.10547724
01-19,17,84.96045676
01-19,18,91.6281493
01-19,19,95.44559647
01-19,20,94.30604653
01-19,21,91.43756804
01-19,22,87.94132312
01-19,23,85.09535434
01-20,0,79.8103658
01-20,1,75.84154223
01-20,2,70.61743551
01-20,3,68.76570068
01-20,4,67.89051223
01-20,5,68.09450052
01-20,6,68.35657356
01-20,7,69.91101223
01-20,8,72.96512454
01-20,9,76.15940712
01-20,10,77.86637294
01-20,11,79.43781421
01-20,12,82.21410812
01-20,13,83.72312166
01-20,14,83.91999951
01-20,15,81.96801341
01-20,16,79.07346427
01-20,17,77.9306406
01-20,18,83.39817217
01-20,19,87.32232379
01-20,20,87.48646984
01-20,21,84.95183895
01-20,22,81.79683698
01-20,23,81.12299054
01-21,0,77.64563883
01-21,1,73.53947288
01-21,2,68.34389112
01-21,3,66.3875648
01-21,4,65.43736628
01-21,5,65.13001839
01-21,6,64.56909372
01-21,7,65.07233505
01-21,8,67.27809413
01-21,9,70.61288852
01-21,10,73.34252672
01-21,11,75.78662024
01-21,12,78.82492114
01-21,13,79.95254549
01-21,14,80.24345004
01-21,15,78.70349103
01-21,16,75.70329391
01-21,17,73.86636306
01-21,18,79.94348344
01-21,19,85.20196896
01-21,20,86.39829572
01-21,21,83.87951202
01-21,22,80.46989843
01-21,23,79.73583264
01-22,0,78.97046441
01-22,1,75.46860488
01-22,2,70.69350205
01-22,3,69.1819537
01-22,4,68.3817753
01-22,5,69.16365801
01-22,6,73.01987511
01-22,7,78.5350563
01-22,8,81.95365412
01-22,9,84.15061984
01-22,10,84.88879374
01-22,11,85.15865197
01-22,12,85.82198642
01-22,13,87.49158488
01-22,14,87.92405771
01-22,15,86.27422481
01-22,16,83.57195497
01-22,17,83.95046213
01-22,18,91.53095317
01-22,19,95.44453999
01-22,20,93.41543411
01-22,21,89.69015056
01-22,22,85.78610446
01-22,23,84.18255585
01-23,0,83.24709438
01-23,1,79.87412537
01-23,2,75.01450416
01-23,3,73.3994208
01-23,4,72.40801957
01-23,5,72.47783494
01-23,6,75.17720673
01-23,7,80.33318481
01-23,8,83.49822749
01-23,9,85.38987056
01-23,10,85.91146612
01-23,11,86.24893905
01-23,12,86.40516323
01-23,13,88.19308742
01-23,14,88.82840436
01-23,15,87.09827901
01-23,16,84.36114534
01-23,17,84.52096119
01-23,18,92.41417022
01-23,19,96.05835471
01-23,20,94.27435214
01-23,21,90.83326163
01-23,22,86.93555441
01-23,23,85.26756053
01-24,0,83.16891488
01-24,1,79.62479616
01-24,2,74.86870996
01-24,3,73.34131441
01-24,4,72.41964085
01-24,5,72.60461251
01-24,6,75.09163187
01-24,7,80.0521612
01-24,8,83.20346965
01-24,9,85.07926552
01-24,10,85.54803709
01-24,11,85.81789532
01-24,12,85.98785374
01-24,13,87.68914659
01-24,14,88.28114786
01-24,15,86.56475674
01-24,16,83.95862656
01-24,17,84.27797085
01-24,18,92.14793733
01-24,19,95.70760344
01-24,20,93.9267703
01-24,21,90.45292892
01-24,22,86.61966697
01-24,23,84.88828431
01-25,0,83.43937369
01-25,1,79.71142749
01-25,2,74.97435793
01-25,3,73.36455696
01-25,4,72.44605284
01-25,5,72.52220709
01-25,6,74.98809686
01-25,7,79.78592831
01-25,8,82.95730987
01-25,9,84.87430845
01-25,10,85.46563168
01-25,11,85.64568913
01-25,12,85.91706959
01-25,13,87.39227578
01-25,14,87.99801129
01-25,15,86.3270488
01-25,16,83.71352326
01-25,17,84.10999057
01-25,18,92.04440232
01-25,19,95.67802201
01-25,20,93.88662407
01-25,21,90.4539854
01-25,22,86.51296252
01-25,23,84.42026379
01-26,0,83.64961316
01-26,1,80.14458418
01-26,2,75.13599933
01-26,3,73.43956703
01-26,4,72.40379365
01-26,5,72.39542952
01-26,6,74.84969801
01-26,7,79.82924398
01-26,8,82.86011373
01-26,9,84.90494637
01-26,10,85.64417675
01-26,11,86.33240095
01-26,12,86.07342859
01-26,13,87.22640846
