Date,Hour,Unnamed: 2
2006-01-01,0,0.0
2006-01-01,1,0.0
2006-01-01,2,0.0
2006-01-01,3,0.0
2006-01-01,4,0.0
2006-01-01,5,0.0
2006-01-01,6,0.0
2006-01-01,7,0.0
2006-01-01,8,0.005554332
2006-01-01,9,0.045088516
2006-01-01,10,0.099834404
2006-01-01,11,0.141736719
2006-01-01,12,0.152240666
2006-01-01,13,0.111999987
2006-01-01,14,0.072729109
2006-01-01,15,0.048076439
2006-01-01,16,0.016430751
2006-01-01,17,0.0
2006-01-01,18,0.0
2006-01-01,19,0.0
2006-01-01,20,0.0
2006-01-01,21,0.0
2006-01-01,22,0.0
2006-01-01,23,0.0
2006-01-02,0,0.0
2006-01-02,1,0.0
2006-01-02,2,0.0
2006-01-02,3,0.0
2006-01-02,4,0.0
2006-01-02,5,0.0
2006-01-02,6,0.0
2006-01-02,7,0.0
2006-01-02,8,0.000642984
2006-01-02,9,0.019484833
2006-01-02,10,0.06063288
2006-01-02,11,0.101867115
2006-01-02,12,0.114275146
2006-01-02,13,0.091412563
2006-01-02,14,0.072523859
2006-01-02,15,0.046501228
2006-01-02,16,0.013243236
2006-01-02,17,1.48e-05
2006-01-02,18,0.0
2006-01-02,19,0.0
2006-01-02,20,0.0
2006-01-02,21,0.0
2006-01-02,22,0.0
2006-01-02,23,0.0
2006-01-03,0,0.0
2006-01-03,1,0.0
2006-01-03,2,0.0
2006-01-03,3,0.0
2006-01-03,4,0.0
2006-01-03,5,0.0
2006-01-03,6,0.0
2006-01-03,7,0.0
2006-01-03,8,0.004330951
2006-01-03,9,0.060344137
2006-01-03,10,0.156405789
2006-01-03,11,0.241221104
2006-01-03,12,0.275622
2006-01-03,13,0.266576245
2006-01-03,14,0.206733821
2006-01-03,15,0.122183804
2006-01-03,16,0.034988826
2006-01-03,17,1.91e-07
2006-01-03,18,0.0
2006-01-03,19,0.0
2006-01-03,20,0.0
2006-01-03,21,0.0
2006-01-03,22,0.0
2006-01-03,23,0.0
2006-01-04,0,0.0
2006-01-04,1,0.0
2006-01-04,2,0.0
2006-01-04,3,0.0
2006-01-04,4,0.0
2006-01-04,5,0.0
2006-01-04,6,0.0
2006-01-04,7,0.0
2006-01-04,8,0.011192119
2006-01-04,9,0.102635911
2006-01-04,10,0.21672272
2006-01-04,11,0.33832892
2006-01-04,12,0.412344324
2006-01-04,13,0.425506851
2006-01-04,14,0.369671215
2006-01-04,15,0.263604259
2006-01-04,16,0.088812854
2006-01-04,17,0.000417126
2006-01-04,18,0.0
2006-01-04,19,0.0
2006-01-04,20,0.0
2006-01-04,21,0.0
2006-01-04,22,0.0
2006-01-04,23,0.0
2006-01-05,0,0.0
2006-01-05,1,0.0
2006-01-05,2,0.0
2006-01-05,3,0.0
2006-01-05,4,0.0
2006-01-05,5,0.0
2006-01-05,6,0.0
2006-01-05,7,0.0
2006-01-05,8,0.020806189
2006-01-05,9,0.152609438
2006-01-05,10,0.299762538
2006-01-05,11,0.40687309
2006-01-05,12,0.462631291
2006-01-05,13,0.458019219
2006-01-05,14,0.392692766
2006-01-05,15,0.261958391
2006-01-05,16,0.088684749
2006-01-05,17,0.000559423
2006-01-05,18,0.0
2006-01-05,19,0.0
2006-01-05,20,0.0
2006-01-05,21,0.0
2006-01-05,22,0.0
2006-01-05,23,0.0
2006-01-06,0,0.0
2006-01-06,1,0.0
2006-01-06,2,0.0
2006-01-06,3,0.0
2006-01-06,4,0.0
2006-01-06,5,0.0
2006-01-06,6,0.0
2006-01-06,7,0.0
2006-01-06,8,0.020572179
2006-01-06,9,0.137362317
2006-01-06,10,0.269044893
2006-01-06,11,0.361400262
2006-01-06,12,0.40319616
2006-01-06,13,0.393177461
2006-01-06,14,0.335611382
2006-01-06,15,0.228981809
2006-01-06,16,0.079291821
2006-01-06,17,0.000111981
2006-01-06,18,0.0
2006-01-06,19,0.0
2006-01-06,20,0.0
2006-01-06,21,0.0
2006-01-06,22,0.0
2006-01-06,23,0.0
2006-01-07,0,0.0
2006-01-07,1,0.0
2006-01-07,2,0.0
2006-01-07,3,0.0
2006-01-07,4,0.0
2006-01-07,5,0.0
2006-01-07,6,0.0
2006-01-07,7,0.0
2006-01-07,8,0.013032221
2006-01-07,9,0.111479231
2006-01-07,10,0.227989438
2006-01-07,11,0.318682946
2006-01-07,12,0.371876162
